"","L2","z"
"3145",66.7217402,1020
"3144",66.94507862,1015
"3143",67.13009822,1020
"3142",67.31511782,1020
"3141",67.50013743,1020
"3140",67.72347585,1020
"3139",67.90849545,1020
"3138",68.17015269,1020
"3137",68.43180992,1020
"3136",68.69346715,1020
"3135",68.91680557,1020
"3134",69.1784628,1020
"3133",69.44012004,1020
"3132",69.70177727,1020
"3131",69.92511569,1013
"3130",70.11013529,1011
"3129",70.37179253,1010
"3128",70.63344976,1010
"3127",70.85678818,1010
"3126",71.04180778,1010
"3125",71.22682739,1010
"3124",71.41184699,1010
"3123",71.59686659,1010
"3122",71.82020501,1010
"3121",72.04354343,1010
"3120",72.22856304,1010
"3119",72.45190145,1010
"3118",72.67523987,1010
"3117",72.93689711,1010
"3116",73.12191671,1010
"3115",73.34525513,1010
"3114",73.60691236,1010
"3113",73.8685696,1010
"3112",74.13022683,1010
"3111",74.39188406,1010
"3110",74.6535413,1010
"3109",74.8385609,1010
"3108",75.06189932,1010
"3107",75.24691892,1010
"3106",75.47025734,1000
"3105",75.69359576,1000
"3104",75.87861536,1000
"3103",76.06363497,1000
"3102",76.24865457,1000
"3101",76.47199299,1000
"3100",76.6570126,1000
"3099",76.91866983,1000
"3098",77.10368943,999
"3097",77.28870904,999
"3096",77.47372864,999
"3095",77.69706706,997
"3094",77.92040548,997
"3093",78.18206271,997
"3092",78.40540113,997
"3091",78.59042073,997
"3090",78.81375915,997
"3089",79.03709757,997
"3088",79.2987548,997
"3087",79.52209322,997
"3086",79.78375046,997
"3085",80.04540769,996
"3084",80.30706492,995
"3083",80.53040334,995
"3082",80.79206058,995
"3081",81.05371781,995
"3080",81.23873741,995
"3079",81.46207583,995
"3078",81.68541425,995
"3077",81.87043385,995
"3076",82.13209109,995
"3075",82.31711069,994
"3074",82.5021303,993
"3073",82.76378753,992
"3072",83.02544476,992
"3071",83.24878318,992
"3070",83.51044041,992
"3069",83.69546002,990
"3068",83.91879844,990
"3067",84.18045567,990
"3066",84.4421129,990
"3065",84.62713251,990
"3064",84.81215211,990
"3063",84.99717172,990
"3062",85.18219132,990
"3061",85.36721092,990
"3060",85.59054934,990
"3059",85.85220658,990
"3058",86.11386381,990
"3057",86.37552104,990
"3056",86.56054065,990
"3055",86.78387907,988
"3054",86.96889867,988
"3053",87.19223709,987
"3052",87.41557551,987
"3051",87.60059511,987
"3050",87.82393353,985
"3049",88.04727195,985
"3048",88.27061037,985
"3047",88.49394879,985
"3046",88.75560602,985
"3045",89.01726325,985
"3044",89.27892049,985
"3043",89.46394009,984
"3042",89.68727851,982
"3041",89.87229811,982
"3040",90.09563653,982
"3039",90.28065613,981
"3038",90.46567574,981
"3037",90.68901416,981
"3036",90.87403376,981
"3035",91.05905337,981
"3034",91.28239178,981
"3033",91.46741139,980
"3032",91.69074981,980
"3031",91.91408823,980
"3030",92.13742664,980
"3029",92.36076506,979
"3028",92.58410348,979
"3027",92.84576072,979
"3026",93.06909913,979
"3025",93.25411874,979
"3024",93.47745716,979
"3023",93.73911439,977
"3022",94.00077162,976
"3021",94.26242886,976
"3020",94.48576728,976
"3019",94.70910569,976
"3018",94.97076293,976
"3017",95.23242016,975
"3016",95.41743976,975
"3015",95.60245937,975
"3014",95.78747897,975
"3013",95.97249858,975
"3012",96.15751818,975
"3011",96.34253778,975
"3010",96.5658762,974
"3009",96.78921462,974
"3008",96.97423423,974
"3007",97.15925383,974
"3006",97.42091106,974
"3005",97.6825683,974
"3004",97.90590672,974
"3003",98.16756395,974
"3002",98.39090237,973
"3001",98.57592197,973
"3000",98.79926039,973
"2999",99.02259881,973
"2998",99.20761841,973
"2997",99.46927565,973
"2996",99.65429525,973
"2995",99.83931485,972
"2994",100.0626533,972
"2993",100.2476729,972
"2992",100.5093301,972
"2991",100.7709873,971
"2990",100.9943258,971
"2989",101.2176642,971
"2988",101.4410026,971
"2987",101.664341,971
"2986",101.8876794,971
"2985",102.072699,971
"2984",102.2960375,971
"2983",102.5576947,970
"2982",102.7810331,970
"2981",103.0426903,970
"2980",103.3043476,970
"2979",103.4893672,970
"2978",103.7510244,970
"2977",104.0126816,970
"2976",104.2360201,969
"2975",104.4210397,969
"2974",104.6443781,969
"2973",104.9060353,969
"2972",105.1293737,968
"2971",105.391031,968
"2970",105.6143694,968
"2969",105.8760266,968
"2968",106.0610462,968
"2967",106.3227035,968
"2966",106.5460419,968
"2965",106.7693803,967
"2964",106.9927187,967
"2963",107.1777383,967
"2962",107.4010767,967
"2961",107.662734,967
"2960",107.8860724,967
"2959",108.071092,967
"2958",108.2561116,967
"2957",108.47945,967
"2956",108.6644696,965
"2955",108.887808,965
"2954",109.1111465,964
"2953",109.3344849,964
"2952",109.5195045,964
"2951",109.7428429,964
"2950",110.0045001,964
"2949",110.2278386,964
"2948",110.4128582,964
"2947",110.6361966,964
"2946",110.859535,964
"2945",111.1211922,964
"2944",111.3828495,964
"2943",111.6445067,964
"2942",111.9061639,964
"2941",112.1678212,964
"2940",112.4294784,964
"2939",112.6528168,964
"2938",112.8761552,964
"2937",113.0611748,964
"2936",113.2461944,964
"2935",113.4695329,964
"2934",113.6928713,962
"2933",113.8778909,962
"2932",114.1012293,960
"2931",114.3245677,960
"2930",114.5095873,960
"2929",114.6946069,960
"2928",114.8796265,960
"2927",115.0646461,960
"2926",115.2496657,960
"2925",115.4346853,959
"2924",115.6580238,959
"2923",115.919681,959
"2922",116.1430194,959
"2921",116.328039,959
"2920",116.5513774,959
"2919",116.8130347,959
"2918",116.9980543,957
"2917",117.2213927,957
"2916",117.4447311,957
"2915",117.7063883,957
"2914",117.891408,957
"2913",118.1147464,957
"2912",118.3764036,957
"2911",118.6380608,957
"2910",118.8230804,956
"2909",119.0847377,956
"2908",119.2697573,956
"2907",119.4930957,956
"2906",119.7164341,956
"2905",119.9014537,956
"2904",120.0864733,956
"2903",120.2714929,956
"2902",120.4948313,956
"2901",120.679851,956
"2900",120.9031894,956
"2899",121.1265278,956
"2898",121.3498662,956
"2897",121.6115234,956
"2896",121.8348619,956
"2895",122.0198815,956
"2894",122.2049011,956
"2893",122.3899207,956
"2892",122.5749403,956
"2891",122.7982787,956
"2890",122.9832983,956
"2889",123.2066367,956
"2888",123.4299751,956
"2887",123.6533136,956
"2886",123.876652,956
"2885",124.1383092,956
"2884",124.3616476,956
"2883",124.584986,956
"2882",124.7700056,956
"2881",124.9933441,956
"2880",125.2550013,956
"2879",125.4783397,955
"2878",125.7016781,955
"2877",125.9250166,955
"2876",126.148355,955
"2875",126.3716934,955
"2874",126.5950318,955
"2873",126.8183702,955
"2872",127.0800275,955
"2871",127.3416847,955
"2870",127.5650231,955
"2869",127.8266804,954
"2868",128.0117,954
"2867",128.2350384,954
"2866",128.4966956,954
"2865",128.7583528,954
"2864",129.0200101,954
"2863",129.2050297,954
"2862",129.4283681,954
"2861",129.6900253,954
"2860",129.8750449,954
"2859",130.0983834,954
"2858",130.283403,954
"2857",130.5450602,954
"2856",130.8067174,954
"2855",131.0300558,953
"2854",131.2150754,953
"2853",131.4384139,953
"2852",131.7000711,953
"2851",131.9234095,953
"2850",132.1467479,953
"2849",132.3700864,953
"2848",132.555106,953
"2847",132.7401256,953
"2846",132.9251452,953
"2845",133.1484836,953
"2844",133.4101408,953
"2843",133.5951604,953
"2842",133.78018,953
"2841",133.9651996,953
"2840",134.2268569,953
"2839",134.4501953,953
"2838",134.6352149,953
"2837",134.8202345,953
"2836",135.0435729,953
"2835",135.2285925,953
"2834",135.4136121,953
"2833",135.5986317,953
"2832",135.7836513,953
"2831",135.9686709,953
"2830",136.1536905,953
"2829",136.3387101,953
"2828",136.5237297,953
"2827",136.7087493,953
"2826",136.8937689,953
"2825",137.0787886,953
"2824",137.302127,953
"2823",137.4871466,953
"2822",137.7488038,953
"2821",138.010461,953
"2820",138.2337995,953
"2819",138.4571379,953
"2818",138.6421575,953
"2817",138.9038147,953
"2816",139.165472,953
"2815",139.4271292,953
"2814",139.6121488,952
"2813",139.8354872,952
"2812",140.0205068,952
"2811",140.282164,952
"2810",140.5438213,952
"2809",140.7671597,952
"2808",140.9521793,952
"2807",141.1755177,952
"2806",141.3605373,952
"2805",141.5838757,952
"2804",141.845533,952
"2803",142.0688714,951
"2802",142.2922098,951
"2801",142.4772294,951
"2800",142.7388866,951
"2799",142.9622251,951
"2798",143.2238823,951
"2797",143.4472207,951
"2796",143.708878,951
"2795",143.9705352,951
"2794",144.1555548,951
"2793",144.417212,951
"2792",144.6788693,951
"2791",144.9405265,950
"2790",145.1638649,950
"2789",145.4255221,950
"2788",145.6105417,950
"2787",145.8338802,950
"2786",146.0188998,950
"2785",146.280557,950
"2784",146.5038954,950
"2783",146.688915,950
"2782",146.9122534,950
"2781",147.1355919,950
"2780",147.3206115,950
"2779",147.5056311,950
"2778",147.6906507,950
"2777",147.8756703,950
"2776",148.0990087,950
"2775",148.3223471,950
"2774",148.5456855,950
"2773",148.769024,950
"2772",149.0306812,950
"2771",149.2540196,950
"2770",149.5156768,950
"2769",149.7006964,950
"2768",149.9240349,948
"2767",150.1090545,948
"2766",150.3323929,948
"2765",150.5940501,948
"2764",150.7790697,948
"2763",151.0024081,948
"2762",151.1874277,948
"2761",151.3724473,948
"2760",151.557467,948
"2759",151.7424866,948
"2758",151.9275062,948
"2757",152.1125258,948
"2756",152.3358642,948
"2755",152.5975214,948
"2754",152.782541,948
"2753",152.9675606,948
"2752",153.1525802,948
"2751",153.3375998,948
"2750",153.5226194,948
"2749",153.707639,948
"2748",153.9309775,948
"2747",154.1543159,948
"2746",154.4159731,948
"2745",154.6009927,948
"2744",154.7860123,948
"2743",155.0476696,947
"2742",155.271008,947
"2741",155.4560276,947
"2740",155.679366,947
"2739",155.8643856,947
"2738",156.087724,947
"2737",156.2727436,947
"2736",156.4577632,947
